content_type,ID,Category,PairNo,Role1,Text1,Role2,Text2,,,,,,,,,,
faq,common,faq_search,,「本市職員」とは、なんですか。,,"「本市職員」とは以下の範囲をいいます。
・横浜市区局職員
・企業局職員
・市費移管職員（小中学校・小中一貫校・特別養護学校の教職員）
※いずれも再任用職員・嘱託員は含まない
  
これらの人と同居している場合は、住居届の申請画面「同居の本市職員欄」に入力が必須です。
これらの人が配偶者の場合は、配偶者欄に入力が必須です。
これらの同居人に住居手当受給権がある場合（同性で共同名義を除く）で一方の職員が住居届を受給する場合、住居手当を受給しない方の職員が記載した申出書を、住居手当を受給する職員が添付書類として提出する必要があります。",,本市職員・定義・再任用・嘱託員・住居届・扶養親族等異動届,,,,,,,,,
faq,fuyo,,,扶養者変更で増申請をしています。配偶者側からの資格喪失証明書は、新たな保険に加入してからでないと発行できないと言われてます。,,"以下について教えていただけますか。
①健康保険会社名
②資格喪失日
伺った内容を確認担当に申し伝えます。何かあれば、再度センターからご連絡差し上げますので、ご了承ください。",,扶養者変更・資格喪失証明書・健康保険・新規加入後・配偶者,,,,,,,,,
faq,fuyo,,,"扶養手当のみの増申請をします。子供で無収入です。
添付書類は何になりますか",,"1.住民票
2.扶養状況申立書",,扶養手当・増申請・子ども・無収入・添付書類・住民票・扶養状況申立書,,,,,,,,,
faq,fuyo,,,"扶養手当のみ増申請をします。20歳の子で、限度額以下の収入ですがアルバイト収入があります。
添付書類は何を提出しますか。",,"1.住民票
2.扶養状況申立書
3.被扶養者収入状況申告書
4.給与明細のコピー３か月分",,扶養手当・増申請・子ども・アルバイト・限度額以下・被扶養者収入状況申告書・給与明細,,,,,,,,,
faq,fuyo,,,個人事業主の妻を扶養します。年間収入で入力する金額は控除前の金額でしょうか、収入から控除額を引いた金額でしょうか。,,"収入から控除額を引いた金額を入力ください。収入の種類に
事業収入　収入○○円　控除額○○円と入力する",,個人事業主・妻・年間収入・控除前・控除後・事業収入・入力方法,,,,,,,,,
faq,fuyo,,,「障害者控除対象者認定書」を発行されました。障害に当たるようですので申請をしたいです。,,"◎「障害者等欄」に入力する内容
①認定書の「発簡番号」（右上に記載されている番号）　
②認定者の氏名・・・「横浜市○○福祉保健センター長」　
③障害事由　 （例）「身体障害者（１・２級）に準ず」、「認知症（重度）に準ず」　→特別障害者
「身体障害者（3～6級まで）に準ず」、「認知症（軽度または中度）に準ず」→障害者　
④認定日・・・当該障害事由に該当することを認定された日

 例：○○障害、発簡番号、横浜市○○福祉保健センター長
     認定日 ",,障害者控除・認定書・申請方法・発簡番号・障害事由・特別障害者,,,,,,,,,
faq,fuyo,,,出生による共済の増申請をします。1/1に生まれましたがいつまでに申請すると1/1から適用されますか。,,"事由日(出生日)から30日以内に申請ください。出生の場合事由日から１日目と起算します。
1月30日までに申請ボタンを押下すると、１月１日から適用されます。",,出生・共済・増申請・事由日・30日以内・1月1日・適用日,,,,,,,,,
faq,fuyo,,,結婚をして配偶者を扶養に入れます。戸籍謄本を準備いたところ、「戸籍全部事項証明書」と記載があります。これを提出してもよいのでしょうか。,,戸籍全部事項証明書＝戸籍謄本です。提出ください。,,結婚・配偶者・戸籍謄本・戸籍全部事項証明書・添付書類,,,,,,,,,
faq,fuyo,,,結婚をしました、妻とは別居ですが同居したら扶養に入れる予定です。結婚の申請はどうしたらよいのでしょうか,,"配偶者の方を同居となり、扶養申請されるときに申請ください。　
届出事由：「増　結婚」
事由日：婚姻日・同居した日にいずれか遅い日

参照：変更事項No,576",,結婚・別居・同居予定・申請タイミング・事由日・婚姻日,,,,,,,,,
faq,fuyo,,,結婚をしました。妻とはまだ別居をしていますが、妻を扶養にいれたいです。,,扶養手当と共済について、扶養要件に同居があります。別居状態で扶養増申請をご希望される場合は、ご所属での対応となります。ご所属の労務主管課へご相談ください。,,結婚・別居・扶養手当・共済・同居要件・所属対応,,,,,,,,,
faq,fuyo,,,妻とは事実婚です。扶養手当と共済の扶養に入れたいと思っています。増・結婚を申請しますか,,"システムから申請ください。
届出事由：「増　事実婚」
事由日：事実婚となった日

添付書類の「戸籍謄本」は不要です。
追加書類の提出をお願いする場合があります。(申出書・事実婚である理由）",,事実婚・扶養手当・共済・届出事由・戸籍謄本不要・申出書,,,,,,,,,
faq,fuyo,,,健康保険資格喪失証明書の提出ですが、元職場より発行が難しいといわれました。自分で証明することはできまか。,,"日本年金機構のHP入り、健康保険の資格喪失証明等が必要になったときと検索し
「健康保険・厚生年金保険 資格取得・資格喪失等通知書」の発行手続きを行う。",,健康保険資格喪失証明書・発行困難・日本年金機構・資格取得喪失通知書,,,,,,,,,
faq,fuyo,,,"退職をして、専門学校に通う子供がいます。
共済の扶養にいれたいのですが、提出書類を教えてください。",,"システムの添付書類一覧の退職事由の書類と以下追加書類が必要になります。
・在学証明書(入学日以降の発行されたもの）
・入学日がわかる書類(在学証明書でわかれば不要）
・カリキュラムや時間割等の書類　(コピー）",,退職・専門学校・子ども・共済・在学証明書・カリキュラム,,,,,,,,,
faq,fuyo,,,確定申告書を提出します。電子申請をしていますが、受付印がありません。,,税務署での受付印は押印はされなくなりました。電子申請の場合は「受信通知」を提出ください。,,確定申告書・電子申請・受付印なし・受信通知,,,,,,,,,
