"分類","Q","A","キーワード","信頼度"
"その他","給与手当のメインメニューで一部の職員が見られない場合、どうすればよいか教えてください","課単位で閲覧できなくなっている場合は、組織設定が必要となります。課長の方へご相談いただき、組織設定の対応をお願いください。なお、給与手当メインメニューの「確認中」欄の「あり」「なし」はご自身の申請内容によって表示されるものです。他の職員の案件を確認されたい場合は、案件照会からご確認ください。","給与手当・メインメニュー・閲覧できない・組織設定・案件照会・確認中","高"
"その他","給与証明書に確認事項ありと記載されていた場合、どうすればよいか教えてください","給与証明書に確認事項がある場合は、担当窓口から直接お問い合わせいただくようご案内いたします。","給与証明書・確認事項・問い合わせ先","中"
"その他","児童手当が今月振り込まれていない場合、どうすればよいか教えてください","児童手当は偶数月に振り込まれます。奇数月は支給がありませんので、翌偶数月にご確認ください。不支給証明書等のご連絡がなく状況に変更がなければ、次の偶数月に支給が継続されます。","児童手当・振り込み・偶数月・支給なし・不支給","高"
"その他","センターから差戻しメールが届いたが差戻し案件が見当たらない場合、どうすればよいか教えてください","給与手当・年末調整ともに差戻し案件がない場合は、センターで確認してご連絡いたします。ホットボイスの内容もあわせてご案内いたします。","差戻し・メール・案件なし・給与手当・年末調整・ホットボイス","中"
"その他","国保から健康保険への切り替え期間中の医療費の返還請求について確認したい場合、どうすればよいか教えてください","医療費の返還請求については、共済組合へお問い合わせください。当センターは庶務事務システムでの申請に関するお問い合わせ窓口となっております。","健康保険・国保・切り替え・医療費・返還請求・共済組合","高"
"その他","センターから発送した書類が返送されてきた場合、どうすればよいか教えてください","特段のご事情がなければ、センターから再度お送りいたします。ご都合をご確認のうえご連絡ください。","書類返送・扶養親族・発送・再送付","中"
"その他","確定申告用に年末調整申告時の提出票を印刷したい場合、どうすればよいか教えてください","年末調整申告時の提出票はシステムからの出力ができません。担当窓口へお問い合わせください。","確定申告・年末調整・提出票・印刷・出力・源泉徴収票","中"
"その他","児童手当の受給状況を証明する書類を取得したい場合、どうすればよいか教えてください","公務員の方は所属庁（横浜市）から児童手当が支給されます。書類の発行については担当窓口へご確認いただくか、給付金の申請先である自治体の担当窓口へお問い合わせいただく場合があります。","児童手当・受給証明・書類取得・給付金・公務員","中"
"その他","給与手当の金額が少ない場合、どうすればよいか教えてください","給与明細の詳細については、センターではお答えできかねます。担当部署へお問い合わせください。","給与手当・金額・少ない・通勤手当・給与明細","中"
"その他","差戻しになった職員の案件を代行で確認したい場合、どうすればよいか教えてください","代行入力の権限をお持ちであれば、差戻し案件の確認が可能です。確認方法についてはご案内いたしますので、お問い合わせください。","差戻し・代行入力・権限・案件確認","高"
"その他","所得税の追加徴収が発生した職員がいる場合、どうすればよいか教えてください","年末調整の申告内容についてはセンターで確認が可能です。配偶者控除の外れや各種控除の申告内容が影響している場合がございます。詳細については担当部署へご確認ください。","所得税・追加徴収・年末調整・配偶者控除・生命保険料控除","中"
"その他","物価高対応子育て応援支援金の申請に必要な書類について教えてください","物価高対応子育て応援支援金に関する書類については、担当窓口へご相談ください。","物価高対応・子育て支援金・書類・申請証明","中"
"その他","源泉徴収票の印字内容に不備がある場合、どうすればよいか教えてください","年末調整の申告内容についてはセンターで確認が可能です。申告内容以外の部分については担当窓口へご確認ください。","源泉徴収票・印字・不備・年末調整・申告内容","中"
"その他","給与の振込口座の金額配分を変更したい場合、どうすればよいか教えてください","給与口座への振込金額の変更は、庶務事務システムの「給与手当＞給与口座振替の届出」から申請いただけます。口座自体の変更がなく金額のみの変更であれば添付書類の提出は不要です。申請ボタンを押下すると、いつの給与から反映されるかポップアップで表示されますのでご確認ください。","給与振込・口座・金額変更・給与口座振替・届出・庶務事務システム","高"
