"分類","Q","A","キーワード","信頼度"
"給与手当　児童手当　額改定・消滅","大学生年代になった子の児童手当を額改定申請したい（申請事由の選び方を教えてください）","大学生年代への増額改定を申請される場合は、届出事由として「大学生年代の増」を選択してください。「制度改正」を選択すると事由日が自動確定してしまいますのでご注意ください。申請画面では対象のお子さんの情報を入力し、職業等の入力欄が表示されましたら必ず入力のうえ申請ください。入力欄が表示されない場合は、一旦一時保存して再度読み込んでいただくと表示されます。","児童手当・額改定・大学生年代・増額・制度改正・届出事由・申請方法","高"
"給与手当　児童手当　額改定・消滅","誤った内容で児童手当の申請をしてしまったので削除・修正したい","申請内容に誤りがある場合は、ご自身で削除のうえ、正しい内容で再申請をお願いいたします。削除できるステータスの場合はご自身での操作が可能です。操作が難しい場合は担当センターへご連絡ください。代行申請の場合は、センターで修正対応することも可能ですので、その際は代行申請書を提出いただいたうえでご連絡ください。","児童手当・申請誤り・削除・修正・差戻・代行申請・訂正","高"
"給与手当　児童手当　額改定・消滅","子どもの生年月日など申請内容の一部を間違えたので修正したい","申請内容（お子さんの生年月日等）の修正はご自身で対応いただけます。システムにログインのうえ、該当の申請を開き、内容を修正して再申請してください。","児童手当・生年月日・修正・申請誤り・自己修正","高"
"給与手当　児童手当　額改定・消滅","大学生年代の増額改定申請に必要な添付書類について教えてください","添付書類として、世帯全員の記載があり続柄の省略されていない、発行から3か月以内の住民票の写し（または住民票記載事項証明書）が必要です。別居しているお子さんがいる場合は、そのお子さんの別居先の住民票も提出が必要となります。代行申請の場合は、上記に加え代行申請に関する請求書も必要ですので、センターからの連絡をご確認ください。","児童手当・添付書類・住民票・続柄・代行申請・請求書・別居","高"
"給与手当　児童手当　額改定・消滅","高校生だった子が大学生になったため申請したが、住民票の提出が15日に間に合わない場合どうなりますか","申請自体が完了していれば、住民票の提出が15日に間に合わなくても手当の支給適用月への影響はありません。書類が整い次第ご提出ください。","児童手当・住民票・締切・15日・支給適用月・提出期限","高"
"給与手当　児童手当　額改定・消滅","庶務事務システムで未来日の消滅申請ができないがどうすればよいですか","庶務事務システムでは未来日の申請はできません。消滅日を迎えてから申請してください。","児童手当・庶務事務システム・未来日・消滅・申請不可","高"
"給与手当　児童手当　額改定・消滅","差戻しになった申請の不足書類が何か教えてください（代行申請）","代行申請の場合は、児童手当額増額改定請求書など代行申請に必要な書類が不足している可能性があります。差戻し通知の内容をご確認いただき、案内されている書類を提出してください。不明な場合はセンターへお問い合わせください。","児童手当・差戻し・不足書類・代行申請・増額改定請求書","中"
"給与手当　児童手当　額改定・消滅","多子加算対象として額改定申請をしたい。増額理由の選択肢について教えてください","多子加算の対象として額改定申請を行う場合、増額理由は「大学生年代の増」を選択してください。対象のお子さんの情報を入力して申請してください。","児童手当・多子加算・大学生年代・増額改定・申請理由","高"
"給与手当　児童手当　額改定・消滅","届出事由を誤って「制度改正」で申請した。正しい事由「額改定」で申請し直したい","届出事由を誤った場合は、現在の申請を削除していただき、正しい届出事由（額改定等）を選択して新たに申請してください。申請内容に誤りがある場合、センターから案内が届くこともありますので、ご確認ください。","児童手当・制度改正・額改定・申請誤り・届出事由・削除・再申請","高"
"給与手当　児童手当　額改定・消滅","外郭団体から横浜市に戻ったため児童手当を申請したい。課税証明書が提出できない場合はどうすればよいですか","外郭団体から横浜市に戻られた場合は、額改定ではなく認定請求から申請してください。住所がR7年1月1日時点で海外であった場合は、住所選択で「海外住所」を選択してください。課税証明書が提出できない事情については担当窓口へ事前に相談してください。","児童手当・外郭団体・認定請求・課税証明書・海外居住・横浜市","中"
"給与手当　児童手当　額改定・消滅","マイナポータルで消滅手続きをしたが返信がなく、支給事由消滅通知書がいつ届くか分からない","支給事由消滅通知書の発行には時間がかかる場合があります。マイナポータルから申請した場合の郵送有無については不明ですが、市区町村の窓口で申請した場合は後日郵送にて届きます。添付書類待ち状態の間はお知らせが届くことがありますが、申請自体は受け付けられておりますのでしばらくお待ちください。","児童手当・消滅手続き・マイナポータル・支給事由消滅通知書・郵送・返信","中"
"給与手当　児童手当　額改定・消滅","差戻しで求められている消滅通知書が取得できない（他市の元受給者から発行してもらえない）","消滅通知書を他市から取得できない場合は、所管担当へ状況を連携し、対応を協議します。何か進展があれば再度ご連絡いたします。","児童手当・消滅通知書・差戻し・他市・取得不可・書類","中"
"給与手当　児童手当　額改定・消滅","第一子がすでに登録済みの場合、第二子の大学生年代への額改定申請はどうすればよいですか","第一子が制度改正時にすでに登録されている場合は、今回は第二子の申請のみ行ってください。第二子が高校生年代から大学生年代になったことで第三子の算定対象として登録が必要となるための申請です。代行申請の場合は、代行申請用の請求書も合わせて提出してください。","児童手当・第一子・第二子・大学生年代・額改定・代行申請・算定対象","高"
"給与手当　児童手当　額改定・消滅","住民票を再提出したが、続柄省略なしの住民票が必要と言われた","提出いただく住民票は、世帯全員の記載があり、続柄の省略がない3か月以内に発行されたものが必要です。「住民票の写し（続柄記載あり）」または「住民票記載事項証明書」を改めてご提出ください。","児童手当・住民票・続柄・省略・再提出・添付書類","高"
"給与手当　児童手当　額改定・消滅","確認中のまま申請が進まない。現況届の申請開始に間に合うか確認したい","確認作業中の申請は現況届への反映が間に合わない場合があります。確認完了前の申請は現況届に反映されませんので、現況届は操作手順に沿って別途申請してください。","児童手当・確認中・進捗・現況届・反映・間に合わない","高"
"給与手当　児童手当　額改定・消滅","育休中に申請の不備があった場合の連絡先を登録したい","不備等があった場合は、差戻しではなくご本人への連絡でご案内します。育休中の連絡先として携帯電話をご指定いただくことが可能です。なお、念のため庶務担当の方にも申請完了まで確認をお願いするようご依頼ください。","児童手当・育休・不備・連絡先・差戻・庶務担当","高"
"給与手当　児童手当　額改定・消滅","大学生年代の減額改定申請で事由日（卒業による監護終了日）を修正したい","卒業を機に監護しなくなった場合の「大学生年代の減」の事由日は、申出日ではなくR7.3.31（卒業・監護終了日）が原則となります。代行申請の場合はセンターで修正対応が可能です。代行申請書を提出いただいたうえでご依頼ください。","児童手当・大学生年代の減・事由日・卒業・監護終了・修正・代行申請","高"
"給与手当　児童手当　額改定・消滅","増額改定申請の添付書類一覧に課税証明書と記載されているが、本当に必要か確認したい","増額改定（新たなお子さんの誕生等）の申請においては課税証明書の提出は不要です。ただし、現況届の申請においては課税証明書が必要となりますのでご注意ください。","児童手当・課税証明書・増額改定・現況届・添付書類・不要","高"
"給与手当　児童手当　額改定・消滅","第二子以降が生まれた際、扶養・共済・児童手当を申請するが課税証明書は各申請で共用できるか","児童手当の額改定（増額）申請における課税証明書の提出は不要です。また、今回の現況届の対象外となっているお子さんがいる場合は、現況届で個別に対応してください。","児童手当・課税証明書・共用・扶養・共済・現況届・増額改定","高"
"給与手当　児童手当　額改定・消滅","消滅通知書が届いたが現況届を申請してしまった。自分でできることがあるか教えてください","消滅通知書（支給事由消滅通知書）が届いた場合は、監護されている方にその通知書をお渡しいただき、その方から児童手当の受給申請を行っていただくようお願いください。現況届については「いいえ」を選択している箇所があれば担当から連絡が入る場合があります。詳細が不明な場合は所属窓口にご確認ください。","児童手当・消滅通知書・支給事由消滅・現況届・監護・受給申請","中"
"給与手当　児童手当　額改定・消滅","子どもが海外から帰国した。すでに児童手当受給者として登録されている場合、増額改定の申請方法を教えてください","すでに受給者として登録がある場合は、認定請求ではなく額改定・消滅届から増額改定の申請を行ってください。添付書類として住民票が必要です。なお、配偶者の方が収入が高い場合や別居の場合は、現況届においても対応が必要となります。現況届ではR7年1月1日時点の状況に基づき配偶者の別居・同居を選択し、備考欄に必要事項を記載して申請してください。","児童手当・海外帰国・増額改定・認定請求・現況届・配偶者・別居","高"
"給与手当　児童手当　額改定・消滅","申請後の進捗を確認したい（いつ完了するか）","現在、書類の確認を進めております。もうしばらくお待ちください。完了の時期については不明ですが、書類が受領できた時点から確認を進めております。","児童手当・進捗確認・完了・確認中・問い合わせ","中"
"給与手当　児童手当　額改定・消滅","大学生年代の減の申請で事由日を誤った（4/1としたが3/31にしたい）ので修正したい","代行申請の場合は、センターで事由日の修正対応が可能です。代行申請書をご提出のうえ、センターへご依頼ください。","児童手当・大学生年代の減・事由日・修正・代行申請・センター修正","高"
"給与手当　児童手当　額改定・消滅","確認待ちから申請が進まない（添付書類未提出が原因か確認したい）","申請が「確認待ち」のまま進まない場合は、添付書類（住民票：世帯全員記載・続柄あり・3か月以内発行）がまだ提出されていない可能性があります。書類をご提出いただき次第、確認を進めます。","児童手当・確認待ち・進まない・住民票・添付書類・提出","高"
"給与手当　児童手当　額改定・消滅","申請種別を誤った（額改定・消滅届を申請したが、現況届を申請したかった）ので差戻してほしい","申請種別を誤った場合は、ご自身で削除いただけるステータスであれば自己削除の上、正しい申請を行ってください。操作できない状況の場合は操作方法をご案内しますのでご連絡ください。","児童手当・申請誤り・額改定消滅届・現況届・差戻・削除・誤申請","高"
"給与手当　児童手当　額改定・消滅","消滅として申請したが、2人のうち1人の減額申請だった。正しく申請し直したい","1人分の減額改定として申請する場合は、消滅届ではなく減額改定として対象のお子さんの情報を入力し、申請ボタンを押して申請してください。センターで差戻し対応のうえ、案内の通りに再申請いただく流れとなります。","児童手当・消滅・減額・申請誤り・差戻・再申請・1人","高"
"分類","Q","A","キーワード","信頼度"
"給与手当　児童手当　額改定・消滅","代行で児童手当を申請する際、認定請求書の決裁欄への押印は必要ですか","代行申請における認定請求書の決裁欄の押印の要否については、センターではなく担当窓口へご確認ください。","代行申請・認定請求書・決裁欄・押印・書類","低"
"給与手当　児童手当　額改定・消滅","出生による額改定申請の添付書類について教えてください。課税証明書は必要ですか","すでに児童手当を受給されている場合、出生による額改定申請の添付書類は、世帯全員の記載があり続柄の省略されていない3か月以内に発行された住民票のみで構いません。課税証明書の提出は不要です。書類は庁内メール便で送付してください。なお、確認の中で追加書類をお願いする場合もございますのでその際はご対応をお願いします。","児童手当・出生・額改定・添付書類・住民票・課税証明書・不要","高"
"給与手当　児童手当　額改定・消滅","誤って申請してしまった児童手当の申請を取り消したい","申請のステータスがセンター確認待ちの場合は、ご自身で削除することが可能です。案件照会から対象の申請を開き、削除の操作を行ってください。","取消・削除・申請誤り・センター確認待ち・案件照会","高"
"給与手当　児童手当　額改定・消滅","大学生年代の増申請が漏れていた。申請後に遡及支給はされますか","申請漏れがあった場合の遡及対応については、労務担当または職員担当窓口へご確認・ご相談ください。申請漏れが複数名いる場合の確認方法についても、同窓口へお問い合わせください。","遡及・申請漏れ・大学生年代・増額・労務担当","中"
"給与手当　児童手当　額改定・消滅","第二子が生まれた場合、児童手当はどの申請区分を選べばよいですか。課税証明書は必要ですか","すでに児童手当を受給されている場合、第二子以降の出生については認定請求ではなく額改定請求から申請してください。課税証明書は夫婦ともに提出不要で、添付書類は住民票のみとなります。","児童手当・第二子・出生・額改定・認定請求・課税証明書・住民票","高"
"給与手当　児童手当　額改定・消滅","児童手当の住民票を扶養手当等の申請と併用したい場合の取り扱いを教えてください","児童手当の改定申請では個人番号なしの住民票で構いません。扶養手当等の申請と住民票を併用する場合は、個人番号入りの住民票を取得のうえ、対象のお子さんの個人番号のみ確認できる状態にし、それ以外の方の個人番号を黒塗りして提出してください。各申請の送付票余白に「住民票併用希望」と記載してください。","住民票・個人番号・扶養・児童手当・併用・黒塗り・送付票","高"
"給与手当　児童手当　額改定・消滅","15日を超えて出生の児童手当を申請した場合、いつから支給対象になりますか。請求年月日を修正したい場合はどうすればよいですか","事由日（出生日）から15日以内に申請した場合は事由日の翌月から、15日を超えた場合は申請ボタンを押した日の翌月から支給対象となります。請求年月日が差戻後も修正できない場合はセンターで修正対応できる場合がありますので、ご連絡ください。代行申請の場合は増額改定用の請求書の提出も必要です。なお、支給月の詳細については担当窓口へお問い合わせください。","15日・支給開始・翌月・請求年月日・修正・代行申請・増額改定請求書","高"
"給与手当　児童手当　額改定・消滅","児童手当を配偶者側に付け替えたい。申請が却下された場合、受給に空白期間が生じますか","配偶者への付け替えを行う場合は、配偶者が認定請求を申請し、ご自身は額改定・消滅届から消滅申請を行ってください。扶養親族等異動届も増と減の申請が必要です。事由日から15日以内に申請してください。申請が却下された場合でも、却下通知書の到着日から15日以内に再度申請することで受給の空白期間は生じません。なお、市職員同士の場合、支給事由消滅通知書の提出は基本的に不要ですが、確認作業の中でお願いする場合があります。","付け替え・消滅・認定請求・扶養異動届・却下・15日・支給事由消滅通知書","高"
"給与手当　児童手当　額改定・消滅","消滅手続き中の事由日を誤った。修正したい","センター確認中のステータスでは修正できないため、差戻し対応を行います。差戻しには数日いただく場合があります。差戻し後に修正のうえ再申請してください。","消滅手続き・事由日・修正・差戻し・センター確認中","高"
"給与手当　児童手当　額改定・消滅","不要な書類（課税証明書）を誤って提出してしまった。返却してもらえますか","センターで返却対応いたします。返却先（送付先）をお知らせいただければ手配いたします。返却にはお時間をいただく場合があります。","課税証明書・返却・誤提出・書類","高"
"給与手当　児童手当　額改定・消滅","住民票に個人番号が入っているものしかない。別途取り直す必要がありますか","新たに取り直す必要はありません。個人番号入りの住民票を取得のうえ、提出が不要な方の個人番号部分を黒塗りして提出してください。扶養申請と児童手当の住民票は1通で併用可能です。配偶者が扶養に入っていない場合は追加で扶養状況申立書・扶養事実届出書が必要となる場合があります。育休中等で送付票を出力できない場合は、庶務担当へ申請中であることを伝え対応を依頼してください。不備の連絡は差戻しではなくご本人への直接連絡とすることも可能です。","住民票・個人番号・黒塗り・扶養・申立書・届出書・送付票・育休","高"
"給与手当　児童手当　額改定・消滅","受給中なのに認定請求で差戻しになった。改定で申請し直す場合の手続きを教えてください","現在児童手当を受給されている場合は、認定請求ではなく改定で申請してください。再申請の際は、送付票に「申請番号○○の再申請である」旨を記載して提出してください。","差戻し・認定請求・改定・再申請・送付票・受給中","高"
"給与手当　児童手当　額改定・消滅","配偶者の所得が高くなった場合、今すぐ申請が必要ですか","現況届は前年の所得をもとに今年の継続認否を確認するものです。現在ご自身の所得が高いと確認されており受給継続となっている場合は、次の現況届（翌年6月）まではそのままで構いません。ただし、配偶者が海外在住で課税証明書が取得できない等の特殊な事情がある場合は、所属の庶務担当へご相談ください。","現況届・所得・配偶者・海外・課税証明書・受給継続","中"
"給与手当　児童手当　額改定・消滅","改定申請の添付書類（住民票）を扶養手当等と併用したい。申請の期限についても教えてください","改定の場合の添付書類は住民票原本のみです。扶養手当等と住民票を併用する場合は、各申請の送付票余白に「住民票併用希望」と記載してください。庶務事務システムでは扶養手当・共済でひとつ、税でひとつと分けて申請してください。扶養手当の申請は事由日から15日以内、共済は30日以内が期限です。書類はすべて揃ってからの提出で構いません。","改定・住民票・扶養・共済・申請期限・15日・30日・併用","高"
